Film,Rotten Tomatoes % critics,Metacritic % critics,Average critics %,Rotten Tomatoes Audience %,Metacritic Audience %,Rotten Tomatoes vs Metacritic % deviance,Average audience %,Audience vs Critics deviance %,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),% of Gross earned abroad,Budget ($million),% Budget recovered,% Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
Eye in the Sky,95.0,73.0,84,83.0,70.0,13,76.5,7.5,thriller,thriller,original screenplay,0.113803,113803.0,18.704596,18704596.0,14.270445,14270445,32975041.0,32.975041,0.4327650419,13.0,2.536541615,0.008754076923,2016.0,,,https://www.amazon.com/Eye-Sky-Helen-Mirren/dp/B01GPQPBYM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218546&sr=1-1&keywords=Eye+in+the+Sky
The Florida Project,95.0,92.0,93.5,78.0,66.0,12,72,21.5,drama,drama,original screenplay,0.157553,157553.0,5.062514,5062514.0,0.0,0,5062514.0,5.062514,0.0,2.0,2.531257,0.0787765,2017.0,,,https://www.amazon.co.uk/Florida-Project-Willem-Dafoe/dp/B079G6SR6Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981198&sr=1-1&keywords=The+Florida+Project
Killing Them Softly,75.0,64.0,69.5,44.0,59.0,-15,51.5,18,crime,"crime, thriller",adaptation,6.8129,6812900.0,15.026056,15026056.0,22.904409,22904409,37930465.0,37.930465,0.603852576,15.0,2.528697667,0.4541933333,2012.0,,,http://www.amazon.com/gp/product/B00BJOCX24/?tag=titb-20
A Very Harold & Kumar 3D Christmas,72.0,61.0,66.5,71.0,66.0,5,68.5,-2,comedy,comedy,sequel,12.95,12950000.0,35.06,35060000.0,0.33,330000,48010035.06,48.01003506,0.006873562987,19.0,2.526843951,0.6815789474,2011.0,,,http://www.amazon.com/gp/product/B006PPW98U/?tag=titb-20
Alpha and Omega,17.0,36.0,26.5,41.0,53.0,-12,47,-20.5,animation,"animation, adventure, comedy",original screenplay,9.1,9100000.0,25.11,25110000.0,25.4,25400000,50510000.0,50.51,0.5028707187,20.0,2.5255,0.455,2010.0,,,http://www.amazon.com/gp/product/B0094JO4DM/?tag=titb-20
Yogi Bear,14.0,35.0,24.5,36.0,43.0,-7,39.5,-15,animation,"animation, adventure, comedy",adaptation,16.4,16400000.0,100.25,100250000.0,101.34,101340000,201590000.0,201.59,0.5027035071,80.0,2.519875,0.205,2010.0,,,http://www.amazon.com/gp/product/B004QZ189W/?tag=titb-20
This Is 40,51.0,59.0,55,51.0,59.0,-8,55,0,comedy,comedy,sequel,11.579175,11579175.0,67.544505,67544505.0,20.514281,20514281,88058786.0,88.058786,0.2329612062,35.0,2.515965314,0.3308335714,2012.0,,,http://www.amazon.com/gp/product/B00BGIBVP8/?tag=titb-20
The Good Liar,66.0,55.0,60.5,85.0,48.0,37,66.5,-6,thriller,Thriller,adaptation,5.605051,5605051.0,15.486968,15486968.0,9.6,9600000,25086968.0,25.086968,0.3826688024,10.0,2.5086968,0.5605051,2019.0,,,https://www.amazon.co.uk/Good-Liar-Bill-Condon/dp/B081PPT83H/ref=sr_1_1?keywords=The+Good+Liar&qid=1577974386&s=instant-video&sr=1-1
Storks,63.0,56.0,59.5,68.0,61.0,7,64.5,-5,Adventure,Adventure,original screenplay,21.311407,21311407.0,70.77589,70775890.0,104.5,104500000,175275890.0,175.27589,0.5962029347,70.0,2.503941286,0.3044486714,2016.0,,,https://www.amazon.com/Storks-Nicholas-Stoller/dp/B01M0W2TH5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219212&sr=1-1&keywords=Storks
You Don't Mess with the Zohan,36.0,54.0,45,50.0,53.0,-3,51.5,-6.5,action,"action, comedy",original screenplay,38.53,38530000.0,100.02,100020000.0,99.92,99920000,199940000.0,199.94,0.499749925,80.0,2.49925,0.481625,2008.0,,,http://www.amazon.com/gp/product/B00DFEDRW6/?tag=titb-20
Mad Max: Fury Road,97.0,89.0,93,87.0,87.0,0,87,6,sci-fi,"Sci-Fi, Action",sequel,45.428128,45428128.0,153.636354,153636354.0,221.1,221100000,374736354.0,374.736354,0.5900148135,150.0,2.49824236,0.3028541867,2015.0,Oscar Winner,"Costume Design, Film Editing, Make Up and Hair Styling, Production Design, Sound Editing, Sound Mixing",http://www.amazon.com/gp/product/B014QZ9D84/?tag=titb-20
The Hills Have Eyes 2,11.0,32.0,21.5,40.0,48.0,-8,44,-22.5,horror,horror,sequel,9.686362,9686362.0,20.804166,20804166.0,16.661824,16661824,37465990.0,37.46599,0.4447186368,15.0,2.497732667,0.6457574667,2007.0,,,http://www.amazon.co.uk/Hills-Have-Eyes-2/dp/B00NLK3Z76/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386636&sr=1-1&keywords=The+Hills+Have+Eyes+2
Rise of the Planet of the Apes,83.0,68.0,75.5,87.0,77.0,10,82,-6.5,action,"action, sci-fi",remake / reboot,54.81,54810000.0,176.7,176700000.0,305.04,305040000,231510176.7,231.5101767,1.317609465,93.0,2.489356739,0.5893548387,2011.0,,,http://www.amazon.com/gp/product/B009YMNZJS/?tag=titb-20
She's Out of My League,57.0,46.0,51.5,60.0,68.0,-8,64,-12.5,comedy,"comedy, romance",original screenplay,9.8,9800000.0,32.01,32010000.0,17.77,17770000,49780000.0,49.78,0.356970671,20.0,2.489,0.49,2010.0,,,http://www.amazon.com/gp/product/B003TJMWAA/?tag=titb-20
Elysium,68.0,61.0,64.5,58.0,69.0,-11,63.5,1,Action,"Action, Sci-Fi, Drama, Thriller",original screenplay,29.807393,29807393.0,93.050117,93050117.0,193.090583,193090583,286140700.0,286.1407,0.6748099204,115.0,2.48818,0.2591947217,2013.0,,,http://www.amazon.com/gp/product/B00G3HSF7O/?tag=titb-20
X-Men Origins: Wolverine ,37.0,40.0,38.5,72.0,61.0,11,66.5,-28,action,"action, adventure, sci-fi",adaptation,85.1,85100000.0,179.9,179900000.0,193.2,193200000,373100000.0,373.1,0.5178236398,150.0,2.487333333,0.5673333333,2009.0,,,http://www.amazon.com/gp/product/B004UPANAI/?tag=titb-20
Unbroken,51.0,59.0,55,71.0,64.0,7,67.5,-12.5,action,"action, biography, drama, history, sport, war",adaptation,30.621445,30621445.0,115.637895,115637895.0,45.821402,45821402,161459297.0,161.459297,0.2837953766,65.0,2.483989185,0.4710991538,2014.0,,,http://www.amazon.com/gp/product/B00RFHUYKW/?tag=titb-20
Alien: Covenant,68.0,65.0,66.5,56.0,60.0,-4,58,8.5,sci-fi,"sci-fi, horror",sequel,36.160621,36160621.0,74.262031,74262031.0,166.483733,166483733,240745764.0,240.745764,0.6915333846,97.0,2.481915093,0.3727899072,2017.0,,,https://www.amazon.co.uk/Alien-Covenant-Michael-Fassbender/dp/B0725JLQ47/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981509&sr=1-1&keywords=Alien%3A+Covenant
Megamind,72.0,63.0,67.5,73.0,73.0,0,73,-5.5,animation,"animation, action, comedy",original screenplay,46.02,46020000.0,148.42,148420000.0,173.47,173470000,321890000.0,321.89,0.538910808,130.0,2.476076923,0.354,2010.0,,,http://www.amazon.com/gp/product/B004PGAQMW/?tag=titb-20
The Prodigy,45.0,45.0,45,45.0,57.0,-12,51,-6,thriller,"Thriller, Horror",original screenplay,5.853061,5853061.0,14.855506,14855506.0,0.0,0,14855506.0,14.855506,0.0,6.0,2.475917667,0.9755101667,2019.0,,,https://www.amazon.co.uk/Prodigy-Taylor-Schilling/dp/B07TND47QP/ref=sr_1_1?keywords=The+Prodigy&qid=1577974463&s=instant-video&sr=1-1
Second Act,38.0,47.0,42.5,55.0,46.0,9,50.5,-8,Romance,"Romance, Comedy",original screenplay,6.489983,6489983.0,32.947075,32947075.0,6.6,6600000,39547075.0,395.47075,0.1668897131,16.0,2.471692188,0.4056239375,2018.0,,,https://www.amazon.com/Second-Act-Jennifer-Lopez/dp/B07M79JCN1/ref=sr_1_3?s=instant-video&ie=UTF8&qid=1546974742&sr=1-3&keywords=Second+Act
Dolphin Tale,84.0,64.0,74,81.0,64.0,17,72.5,1.5,family,family,adaptation,19.15,19150000.0,72.29,72290000.0,23.12,23120000,91440072.29,91.44007229,0.2528431947,37.0,2.471353305,0.5175675676,2011.0,,,http://www.amazon.com/gp/product/B0064J63DY/?tag=titb-20
Sicario,93.0,81.0,87,88.0,85.0,3,86.5,0.5,action,"action, drama",original screenplay,12.148041,12148041.0,43.923193,43923193.0,29.982451,29982451,73905644.0,73.905644,0.4056855387,30.0,2.463521467,0.4049347,2015.0,,,http://www.amazon.com/gp/product/B0162LLAQS/?tag=titb-20
