Film,Rotten Tomatoes % critics,Metacritic % critics,Average critics %,Rotten Tomatoes Audience %,Metacritic Audience %,Rotten Tomatoes vs Metacritic % deviance,Average audience %,Audience vs Critics deviance %,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),% of Gross earned abroad,Budget ($million),% Budget recovered,% Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
Dragon Ball Super: Broly,83.0,59.0,71,93.0,77.0,16,85,-14,Action,"Action, Adventure, Sci-Fi, Fantasy, Family",sequel,9.816197,9816197.0,30.712119,30712119.0,72.915772,72915772,103627891.0,103.627891,0.7036307629,8.5,12.19151659,1.154846706,2019.0,,,https://www.amazon.co.uk/Dragon-Ball-Super-Movie-Broly/dp/B07NL9LZPB/ref=sr_1_1?crid=252G9N9WO449K&keywords=dragon+ball+super+broly&qid=1557072717&s=instant-video&sprefix=Dragon+Ball+Super%3A+Broly%2Cinstant-video%2C165&sr=1-1-catcorr
I Can Only Imagine,65.0,30.0,47.5,91.0,80.0,11,85.5,-38,Drama,Drama,based on a true story,17.108914,17108914.0,83.482352,83482352.0,0.0,0,83482352.0,834.82352,0.0,7.0,11.92605029,2.444130571,2018.0,,,https://www.amazon.com/Can-Only-Imagine-Michael-Finley/dp/B07D6W2PWT/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975039&sr=1-2&keywords=I+Can+Only+Imagine
Call Me By Your Name,95.0,93.0,94,85.0,78.0,7,81.5,12.5,Drama,Drama,"adaptation, sequel",1.437889,1437889.0,18.095701,18095701.0,23.603117,23603117,41698818.0,416.98818,0.5660380349,3.5,11.913948,0.4108254286,2018.0,,,https://www.amazon.com/Call-Your-Name-Armie-Hammer/dp/B0791VJLVB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970323&sr=1-2&keywords=Call+Me+By+Your+Name
The Purge: Election Year,54.0,55.0,54.5,50.0,61.0,-11,55.5,-1,Horror,Horror,sequel,31.51511,31515110.0,79.04244,79042440.0,39.374505,39374505,118416945.0,118.416945,0.3325073536,10.0,11.8416945,3.151511,2016.0,,,https://www.amazon.com/Purge-Election-Year-Frank-Grillo/dp/B01ICD5114/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219262&sr=1-1&keywords=The+Purge%3A+Election+Year
The Gift,94.0,77.0,85.5,78.0,84.0,-6,81,4.5,thriller,thriller,original screenplay,11.854273,11854273.0,43.787265,43787265.0,15.191388,15191388,58978653.0,58.978653,0.2575743464,5.0,11.7957306,2.3708546,2015.0,,,http://www.amazon.com/gp/product/B0178D8ZRG/?tag=titb-20
The Secret Life of Pets,74.0,61.0,67.5,64.0,60.0,4,62,5.5,Adventure,Adventure,original screenplay,104.352905,104352905.0,367.226855,367226855.0,505.525621,505525621,872752476.0,872.752476,0.5792313799,75.0,11.63669968,1.391372067,2016.0,,,https://www.amazon.com/Secret-Life-Pets-Louis-C-K/dp/B01HOSMNYQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219554&sr=1-1&keywords=The+Secret+Life+of+Pets
Lucy,66.0,61.0,63.5,47.0,60.0,-13,53.5,10,action,"action, sci-fi, thriller",original screenplay ,43.89934,43899340.0,126.6636,126663600.0,332.2,332200000,458863600.0,458.8636,0.723962415,40.0,11.47159,1.0974835,2014.0,,,http://www.amazon.com/gp/product/B00QQW1VJA/?tag=titb-20
Grandma,92.0,78.0,85,71.0,71.0,0,71,14,comedy,comedy,original screenplay,1.501101,1501101.0,6.741296,6741296.0,0.1,100000,6841296.0,6.841296,0.01461711348,0.6,11.40216,2.501835,2015.0,,,http://www.amazon.com/gp/product/B019HQ7ZJQ/?tag=titb-20
Silver Linings Playbook,92.0,81.0,86.5,86.0,83.0,3,84.5,2,comedy,"comedy, romance",adaptation,0.443003,443003.0,132.092958,132092958.0,104.319495,104319495,236412453.0,236.412453,0.4412605752,21.0,11.25773586,0.02109538095,2012.0,Oscar Winner,Best Actress,http://www.amazon.com/gp/product/B00BZAJMWG/?tag=titb-20
Boyhood,98.0,100.0,99,82.0,77.0,5,79.5,19.5,drama,drama,original screenplay ,0.387618,387618.0,25.352281,25352281.0,19.143,19143000,44495281.0,44.495281,0.4302253985,4.0,11.12382025,0.0969045,2014.0,Oscar Winner,Best Supporting Actress (Patricia Arquette),http://www.amazon.com/gp/product/B00MBWN6UG/?tag=titb-20
Jurassic World,71.0,59.0,65,80.0,69.0,11,74.5,-9.5,sci-fi,"sci-fi, horror",sequel,208.80627,208806270.0,652.050585,652050585.0,1014.0,1014000000,1666050585.0,1666.050585,0.6086249776,150.0,11.1070039,1.3920418,2015.0,,,http://www.amazon.com/gp/product/B016VLEH0A/?tag=titb-20
Waitress,89.0,75.0,82,74.0,75.0,-1,74.5,7.5,romance,romantic comedy,original screenplay,2.012857,2012857.0,19.0748,19074800.0,3.104683,3104683,22179483.0,22.179483,0.1399799535,2.0,11.0897415,1.0064285,2007.0,,,http://www.amazon.co.uk/Waitress-Keri-Russell/dp/B00FYHTCRQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386813&sr=1-1&keywords=Waitress
The Big Sick,98.0,86.0,92,89.0,75.0,14,82,10,romance,"romance, comedy",based on a true story,0.421577,421577.0,42.873127,42873127.0,12.390522,12390522,55263649.0,55.263649,0.2242074533,5.0,11.0527298,0.0843154,2017.0,,,https://www.amazon.co.uk/Big-Sick-Kumail-Nanjiani/dp/B074HDM55B/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981471&sr=1-1&keywords=The+Big+Sick
Dallas Buyers Club,93.0,84.0,88.5,91.0,83.0,8,87,1.5,Biography,"Biography, Drama, History",based on a true story,0.260865,260865.0,27.298285,27298285.0,27.9,27900000,55198285.0,55.198285,0.5054504864,5.0,11.039657,0.052173,2013.0,Oscar Winner,"Best Supporting Actor (Jared Leto), Best Makeup and Hairstyling (Adruitha Lee and Robin Mathews), Best Actor (Matthew McConaughey)",http://www.amazon.com/gp/product/B00I8H6X58/?tag=titb-20
Ted,68.0,62.0,65,74.0,70.0,4,72,-7,comedy,"comedy, fantasy",original screenplay,54.415205,54415205.0,218.815487,218815487.0,330.552828,330552828,549368315.0,549.368315,0.6016962008,50.0,10.9873663,1.0883041,2012.0,,,http://www.amazon.com/gp/product/B00AMBLXP8/?tag=titb-20
Insidious: Chapter 3,60.0,52.0,56,54.0,68.0,-14,61,-5,horror,horror,sequel,22.692741,22692741.0,52.218558,52218558.0,57.3,57300000,109518558.0,109.518558,0.5231989998,10.0,10.9518558,2.2692741,2015.0,,,http://www.amazon.com/gp/product/B016887PIW/?tag=titb-20
Downton Abbey,84.0,64.0,74,94.0,61.0,33,77.5,-3.5,Drama,Drama,adaptation,31.033665,31033665.0,96.722715,96722715.0,89.2,89200000,185922715.0,185.922715,0.4797692418,17.0,10.93663029,1.825509706,2019.0,,,https://www.amazon.co.uk/Downton-Abbey-Hugh-Bonneville/dp/B07XPDBQRG/ref=sr_1_1?crid=W28R0R7J65YJ&keywords=downton+abbey+film+2019&qid=1577973385&s=instant-video&sprefix=Downton+Abbey%2Cinstant-video%2C166&sr=1-1
A Star is Born,90.0,88.0,89,81.0,86.0,-5,83.5,5.5,Drama,Drama,remake / reboot,42.908051,42908051.0,202.110867,202110867.0,188.0,188000000,390110867.0,390.110867,0.4819142862,36.0,10.83641297,1.191890306,2018.0,,,-
Us,94.0,81.0,87.5,68.0,67.0,1,67.5,20,Horror,"Horror, Thriller",original screenplay,71.117625,71117625.0,152.381515,152381515.0,64.2,64200000,216581515.0,216.581515,0.2964241893,20.0,10.82907575,3.55588125,2019.0,,,https://www.amazon.co.uk/Us-Lupita-Nyongo/dp/B07PSK5FSZ/ref=sr_1_1?keywords=Us&qid=1557072508&s=instant-video&sr=1-1
Parasite,99.0,96.0,97.5,93.0,89.0,4,91,6.5,Drama,Drama,original screenplay,0.393216,393216.0,18.274213,18274213.0,99.030799,99030799,117305012.0,117.305012,0.8442162642,11.0,10.664092,0.03574690909,2019.0,,,-
The Blind Side ,65.0,53.0,59,90.0,69.0,21,79.5,-20.5,biography,"biography, sport",adaptation,34.1,34100000.0,255.96,255960000.0,53.24,53240000,309200000.0,309.2,0.1721862872,29.0,10.66206897,1.175862069,2009.0,Oscar Winner,Best Actress,http://www.amazon.com/gp/product/B0036BK6MW/?tag=titb-20
Twilight,49.0,56.0,52.5,82.0,49.0,33,65.5,-13,fantasy,"fantasy, romance",adaptation,69.64,69640000.0,192.77,192770000.0,199.85,199850000,392620000.0,392.62,0.5090163517,37.0,10.61135135,1.882162162,2008.0,,,http://www.amazon.com/gp/product/B001T5D6LK/?tag=titb-20
Chronicle (2012),85.0,69.0,77,71.0,73.0,-2,72,5,sci-fi,"sci-fi, thriller",original screenplay,22.004098,22004098.0,64.575175,64575175.0,62.060922,62060922,126636097.0,126.636097,0.4900729213,12.0,10.55300808,1.833674833,2012.0,,,http://www.amazon.com/gp/product/B0083GPDBO/?tag=titb-20
Saw V,13.0,20.0,16.5,63.0,56.0,7,59.5,-43,horror,"crime, horror, thriller",sequel,30.1,30100000.0,56.75,56750000.0,57.12,57120000,113870000.0,113.87,0.5016246597,10.8,10.54351852,2.787037037,2008.0,,,http://www.amazon.com/gp/product/B004OTQRAA/?tag=titb-20
The Campaign,65.0,50.0,57.5,51.0,60.0,-9,55.5,2,comedy,comedy,original screenplay,26.58846,26588460.0,86.907746,86907746.0,18.0,18000000,104907746.0,104.907746,0.1715793227,10.0,10.4907746,2.658846,2012.0,,,http://www.amazon.com/gp/product/B009M8W8CY/?tag=titb-20
Me Before You,58.0,51.0,54.5,73.0,66.0,7,69.5,-15,Drama,Drama,adaptation,18.723269,18723269.0,56.245075,56245075.0,151.6,151600000,207845075.0,207.845075,0.7293894262,20.0,10.39225375,0.93616345,2016.0,,,https://www.amazon.com/Me-Before-You-Emilia-Clarke/dp/B01GIIVF6K/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219091&sr=1-1&keywords=Me+Before+You
Star Wars: Force Awakens,94.0,81.0,87.5,91.0,70.0,21,80.5,7,sci-fi,"sci-fi, fantasy",sequel,247.966675,247966675.0,936.662225,936662225.0,1131.561399,1131561399,2068223624.0,2068.223624,0.5471175292,200.0,10.34111812,1.239833375,2015.0,,,http://www.amazon.com/gp/product/B019EG160I/?tag=titb-20
The Twilight Saga: Eclipse	,50.0,58.0,54,74.0,47.0,27,60.5,-6.5,adventure,"adventure, fantasy, romance",sequel,64.8,64800000.0,300.53,300530000.0,397.96,397960000,698490000.0,698.49,0.5697433034,68.0,10.27191176,0.9529411765,2010.0,,,http://www.amazon.com/gp/product/B0045XKJBI/?tag=titb-20
The First Purge,55.0,54.0,54.5,33.0,47.0,-14,40,14.5,Horror,Horror,prequel,17.37428,17374280.0,68.905655,68905655.0,64.10941,64109410,133015065.0,1330.15065,0.4819710459,13.0,10.23192808,1.336483077,2018.0,,,https://www.amazon.com/First-Purge-Ylan-Noel/dp/B07F46JNQX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974204&sr=1-1&keywords=The+First+Purge
Don Jon,80.0,66.0,73,59.0,70.0,-11,64.5,8.5,Drama,"Drama, Comedy, Romance",original screenplay,8.677009,8677009.0,24.477704,24477704.0,5.973052,5973052,30450756.0,30.450756,0.1961544731,3.0,10.150252,2.892336333,2013.0,,,http://www.amazon.com/gp/product/B00GJ0HSUK/?tag=titb-20
Jackass Presents: Bad Grandpa,60.0,54.0,57,61.0,66.0,-5,63.5,-6.5,Comedy,Comedy,sequel,32.055177,32055177.0,102.003019,102003019.0,49.828518,49828518,151831537.0,151.831537,0.3281829255,15.0,10.12210247,2.1370118,2013.0,,,http://www.amazon.com/gp/product/B00H9UY4J2/?tag=titb-20
Jigsaw,34.0,39.0,36.5,92.0,60.0,32,76,-39.5,horror,horror,sequel,16.640452,16640452.0,37.899565,37899565.0,63.120449,63120449,101020014.0,101.020014,0.624831125,10.0,10.1020014,1.6640452,2017.0,,,https://www.amazon.co.uk/Jigsaw-Michael-Spierig/dp/B076TY3PTX/ref=sr_1_cc_2?s=aps&ie=UTF8&qid=1546977478&sr=1-2-catcorr&keywords=jigsaw+2017
The Maze Runner,63.0,56.0,59.5,68.0,67.0,1,67.5,-8,action,"action, sci-fi, mystery, thriller",adaptation,32.512804,32512804.0,102.427862,102427862.0,238.322778,238322778,340750640.0,340.75064,0.6994052249,34.0,10.02207765,0.9562589412,2014.0,,,http://www.amazon.com/gp/product/B00NQFLZW8/?tag=titb-20
Ice Age: Dawn of the Dinosaurs ,45.0,50.0,47.5,72.0,70.0,2,71,-23.5,animation,"animation, action, adventure",sequel,41.7,41700000.0,196.57,196570000.0,690.11,690110000,886680000.0,886.68,0.778307845,90.0,9.852,0.4633333333,2009.0,,,http://www.amazon.com/gp/product/B002OR0RP0/?tag=titb-20
Pitch Perfect 2,66.0,63.0,64.5,67.0,57.0,10,62,2.5,comedy,comedy,sequel,69.21689,69216890.0,183.785415,183785415.0,101.380369,101380369,285165784.0,285.165784,0.3555137912,29.0,9.833302897,2.38678931,2015.0,,,http://www.amazon.com/gp/product/B015O6OZUA/?tag=titb-20
Midnight Sun,22.0,38.0,30,52.0,42.0,10,47,-17,Drama,Drama,remake / reboot,4.003993,4003993.0,9.561064,9561064.0,17.804403,17804403,27365467.0,273.65467,0.6506157194,2.8,9.773381071,1.4299975,2018.0,,,https://www.amazon.com/Midnight-Sun-Bella-Thorne/dp/B07C8ZWPCB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975535&sr=1-2&keywords=Midnight+Sun
Mama,65.0,57.0,61,56.0,69.0,-13,62.5,-1.5,horror,"Mystery, Horror",adaptation,28.40231,28402310.0,71.62818,71628180.0,74.8,74800000,146428180.0,146.42818,0.5108306338,15.0,9.761878667,1.893487333,2013.0,,,http://www.amazon.com/gp/product/B00COHAUD4/?tag=titb-20
Unfriended: Dark Web,57.0,53.0,55,44.0,37.0,7,40.5,14.5,Horror,Horror,sequel,3.653035,3653035.0,8.783985,8783985.0,0.80687,806870,9590855.0,95.90855,0.08412910006,1.0,9.590855,3.653035,2018.0,,,https://www.amazon.com/Unfriended-Dark-Web-Colin-Woodell/dp/B07HHH3HSL/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970629&sr=1-1&keywords=Unfriended%3A+Dark+Web
Buried,86.0,65.0,75.5,63.0,72.0,-9,67.5,8,thriller,"mystery, thriller",original screenplay,0.103,103000.0,1.04,1040000.0,18.11,18110000,19150000.0,19.15,0.945691906,2.0,9.575,0.0515,2010.0,,,http://www.amazon.com/gp/product/B004IM14RY/?tag=titb-20
Ready or Not,89.0,64.0,76.5,78.0,65.0,13,71.5,5,Comedy,Comedy,original screenplay,8.01559,8015590.0,28.714231,28714231.0,28.723219,28723219,57437450.0,57.43745,0.5000782416,6.0,9.572908333,1.335931667,2019.0,,,https://www.amazon.co.uk/Ready-Not-Matt-Bettinelli-Olpin/dp/B07Y8DH11C/ref=sr_1_1?crid=BS8FFAVGJ7Z&keywords=ready+or+not+movie&qid=1577973905&s=instant-video&sprefix=Ready+or+Not+%2Cinstant-video%2C147&sr=1-1
Unsane,79.0,63.0,71,57.0,64.0,-7,60.5,10.5,thriller,"Thriller, Suspense",original screenplay,3.762145,3762145.0,7.690044,7690044.0,6.490758,6490758,14180802.0,141.80802,0.4577144508,1.5,9.453868,2.508096667,2018.0,,,https://www.amazon.com/Unsane-Claire-Foy/dp/B07BNYBCCR/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970613&sr=1-2&keywords=Unsane
12 Years a Slave,96.0,97.0,96.5,90.0,80.0,10,85,11.5,Biography,"Biography, Drama, History",adaptation,0.923715,923715.0,56.671993,56671993.0,131.061209,131061209,187733202.0,187.733202,0.6981248261,20.0,9.3866601,0.04618575,2013.0,Oscar Winner,"Best Picture, Best Adapted Screenplay",http://www.amazon.com/gp/product/B00IRMTTPU/?tag=titb-20
Easy A,85.0,72.0,78.5,75.0,73.0,2,74,4.5,comedy,"comedy, romance",adaptation,17.7,17700000.0,58.4,58400000.0,16.55,16550000,74950000.0,74.95,0.2208138759,8.0,9.36875,2.2125,2010.0,,,http://www.amazon.com/gp/product/B008Y6Y1RA/?tag=titb-20
Mamma Mia!,53.0,51.0,52,76.0,72.0,4,74,-22,comedy,"comedy, musical, romance",adaptation,27.75,27750000.0,144.13,144130000.0,465.71,465710000,609840000.0,609.84,0.7636593205,66.0,9.24,0.4204545455,2008.0,,,http://www.amazon.com/gp/product/B001N4RORE/?tag=titb-20
Ice Age: Continental Drift,37.0,49.0,43,63.0,60.0,3,61.5,-18.5,animation,"animation, adventure, comedy",sequel,46.629259,46629259.0,161.321843,161321843.0,715.922939,715922939,877244782.0,877.244782,0.8161039583,95.0,9.2341556,0.4908343053,2012.0,,,http://www.amazon.com/gp/product/B00APUQT7I/?tag=titb-20
